,countries,Fips_code,ISO3v10,WH_2000,RI_2000,MZ_2000,WHA1F2020,RIA1F2020,MZA1F2020,ActChWHA1F2020,ActChRIAIF2020,ActChMZA1F2020,WHA1F2050,RIA1F2050,MZA1F2050,ActChWHA1F2050,ActChRIAIF2050,ActChMZA1F2050,WHA1F2080,RIA1F2080,MZA1F2080,ActChWHA1F2080,ActChRIAIF2080,ActChMZA1F2080,WHA2a2020,RIA2a2020,MZA2a2020,ActChWHA2a2020,ActChRIA2a2020,ActChMZA2a2020,WHA2a2050,RIA2a2050,MZA2a2050,ActChWHA2a2050,ActChRIA2a2050,ActChMZA2a2050,WHA2a2080,RIA2a2080,MZA2a2080,ActChWHA2a2080,ActChRIA2a2080,ActChMZA2a2080,WHA2b2020,RIA2b2020,MZA2b2020,ActCHWHA2b2020,ActChRIA2b2020,ActChMZA2b2020,WHA2b2050,RIA2b2050,MZA2b2050,ActCHWHA2b2050,ActChRIA2b2050,ActChMZA2b2050,WHA2b2080,RIA2b2080,MZA2b2080,ActChWHA2b2080,ActChRIA2b2080,ActChMZA2b2080,WHA2c2020,RIA2c2020,MZA2c2020,ActChWHA2c2020,ActChRIA2c2020,ActChMZA2c2020,WHA2c2050,RIA2c2050,MZA2c2050,ActChWHA2c2050,ActChRIA2c2050,ActChMZA2c2050,WHA2c2080,RIA2c2080,MZA2c2080,ActChWHA2c2080,ActChRIA2c2080,ActChMZA2c2080,WHB1a2020,RIB1a2020,MZB1a2020,ActChWHB1a2020,ActChRIB1a2020,ActChMZB1a2020,WHB1a2050,RIB1a2050,MZB1a2050,ActChWHB1a2050,ActChRIB1a2050,ActChMZB1a2050,WHB1a2080,RIB1a2080,MZB1a2080,ActChWHB1a2080,ActChRIB1a2080,ActChMZB1a2080,WHB2a2020,RIB2a2020,MZB2a2020,ActChWHB2a2020,ActChRIB2a2020,ActChMZB2a2020,WHB2a2050,RIB2a2050,MZB2a2050,ActChWHB2a2050,ActChRIB2a2050,ActChMZB2a2050,WHB2a2080,RIB2a2080,MZB2a2080,ActChWHB2a2080,ActChRIB2a2080,ActChMZB2a2080,WHB2b2020,RIB2b2020,MZB2b2020,ActChWHB2b2020,ActChRIB2b2020,ActChMZB2b2020,WHB2b2050,RIB2b2050,MZB2b2050,ActChWHB2b2050,ActChRIB2b2050,ActChMZB2b2050,WHB2b2080,RIB2b2080,MZB2b2080,ActChWHB2b2080,ActChRIB2b2080,ActChMZB2b2080,COUNTRY,WH%GR,RI%GR,MZ%GR,A1FI2020,A1FI2050,A1FI2080,A2A2020,A2A2050,A2A2080,A2B2020,A2B2050,A2B2080,A2C2020,A2C2050,A2C2080,B1A2020,B1A2050,B1A2080,B2A2020,B2A2050,B2A2080,B2B2020,B2B2050,B2B2080
30,China,CH,CHN,94879370.28571,179210744.42857,124781476.71429,-0.22430,-0.92192,-3.29653,-212811.53067,-1652175.83578,-4113463.83793,6.09623,3.66789,-5.97330,5784060.88591,6573247.17873,-7453574.17184,-0.86663,7.12202,-0.15817,-822249.20007,12763432.79497,-197368.14517,-1.17205,-1.17682,-5.05165,-1112037.89393,-2108985.34730,-6303517.67522,7.26287,3.64713,-6.95717,6890964.18842,6536041.82651,-8681254.61947,8.31417,8.70671,-2.84818,7888432.27892,15603366.89753,-3553998.00236,3.80454,-0.23647,-3.54184,3609722.34750,-423787.20772,-4419561.66687,7.82739,2.99786,-5.95600,7426575.41122,5372490.07883,-7431989.75929,5.75211,8.90861,-2.44744,5457566.95798,15965179.34090,-3053953.20182,-2.31237,-1.31490,-5.30593,-2193959.28733,-2356443.65532,-6620815.41976,6.09717,-0.12996,-7.43410,5784953.86936,-232896.74869,-9276384.70998,6.59518,7.54693,-4.11270,6257463.11572,13524916.40713,-5131885.46890,3.32308,-0.67114,-3.35095,3152919.15024,-1202758.44965,-4181366.12003,5.25686,0.82384,-6.61703,4987675.87841,1476410.44796,-8256821.80564,5.68573,-0.62601,-7.80640,5394580.68501,-1121885.70472,-9740944.05687,0.74835,-1.67757,-5.56470,710032.69415,-3006382.22149,-6943720.51941,4.23007,0.43766,-7.45911,4013462.71452,784334.69406,-9307589.55341,6.83508,3.82788,-6.21786,6485078.88958,6859980.33375,-7758740.22107,0.08220,-1.77553,-5.73194,77986.29254,-3181941.58961,-7152399.17772,4.99764,0.81480,-7.41287,4741731.95462,1460204.60156,-9249893.79190,7.56187,4.28713,-5.45728,7174654.88560,7682989.55953,-6809668.93609,China,25.38845,45.25139,29.36016,-0.48066,0.48458,0.98545,-0.77109,0.48389,1.73817,-0.06033,0.53171,1.59102,-0.91330,-0.23117,1.29400,-0.14796,-0.07844,-0.37725,-0.73431,-0.30600,0.54731,-0.82183,-0.17963,0.75252
68,India,IN,IND,70674928.0,129906128.57143,13599800.0,-4.09953,-6.09953,-7.09953,-2897341.18071,-7923665.68251,-965522.13203,-1.96654,-2.96654,-8.96654,-1389853.60301,-3853722.54901,-1219432.05994,-2.44421,-3.44421,-12.44421,-1727441.27168,-4474235.48524,-1692387.21245,-2.22806,-4.22806,-5.22806,-1574681.67220,-5492512.49947,-711006.06399,-3.27071,-5.27071,-10.27071,-2311568.44453,-6846968.88871,-1396795.34642,-1.07383,-2.07383,-12.07383,-758929.48795,-2694033.93625,-1642016.90718,-1.77626,-3.77626,-4.77626,-1255372.75664,-4905597.36262,-649562.24632,-0.96811,-2.96811,-7.96811,-684214.23614,-3855762.65746,-1083647.63775,-0.08296,-1.08296,-11.08296,-58633.16474,-1406833.69741,-1507260.63355,-2.79575,-4.79575,-5.79575,-1975894.49651,-6229973.52297,-788210.44640,-4.06003,-6.06003,-11.06003,-2869425.48384,-7872354.41543,-1504142.38416,-2.11396,-3.11396,-13.11396,-1494036.34150,-4045218.69347,-1783471.68428,-1.67841,-3.67841,-4.67841,-1186217.14982,-4778483.86699,-636254.80550,-2.13705,-3.13705,-7.13705,-1510355.06497,-4075213.80275,-970623.85551,-4.85907,-7.85907,-10.85907,-3434144.90291,-10209414.82666,-1476811.93251,-4.62209,-6.62209,-7.62209,-3266660.32196,-8602503.58451,-1036589.29261,-5.62810,-6.62810,-10.62810,-3977652.31222,-8610302.02280,-1445399.70676,-4.64188,-5.64188,-11.64188,-3280644.90665,-7329147.07570,-1583272.31134,-2.92672,-4.92672,-5.92672,-2068460.08547,-6400116.42430,-806022.61165,-3.55500,-4.55500,-8.55500,-2512491.98690,-5917221.02526,-1163462.56220,-2.26457,-3.26457,-9.26457,-1600481.97018,-4240874.20974,-1259962.75094,India,32.30633,62.84411,4.84956,-1.83397,-0.97815,-1.18587,-1.21014,-1.62235,-0.74524,-1.05954,-0.85482,-0.41495,-1.39937,-1.88546,-1.09195,-1.02693,-1.00265,-2.34512,-2.00815,-2.16634,-1.86993,-1.44303,-1.47531,-1.07749
155,United States,US,USA,55230142.85714,9501827.71429,0.0,4.08257,2.08257,0.61883,2254807.90823,197881.98375,0.00000,-0.37049,-1.37049,-5.01303,-204622.31079,-130221.62522,0.00000,2.00000,1.00000,-8.00000,1104602.85714,95018.27714,0.00000,4.63003,2.63003,1.37001,2557172.18179,249900.91917,0.00000,4.60491,2.60491,-1.78249,2543296.83759,247513.79643,0.00000,3.13190,2.13190,-6.10709,1729750.22762,202569.01489,0.00000,2.24753,0.24753,1.19745,1241313.64856,23519.80856,0.00000,2.78335,0.78335,-1.95875,1537249.61360,74432.81383,0.00000,2.00000,1.00000,-6.70027,1104602.85714,95018.27714,0.00000,3.47013,1.47013,0.19715,1916557.36891,139689.15312,0.00000,3.11453,1.11453,-1.72052,1720157.87805,105900.46404,0.00000,2.80764,1.80764,-8.40097,1550666.11398,171759.27394,0.00000,1.04583,-0.95417,-0.31619,577615.49847,-90663.22900,0.00000,-0.17069,-1.17069,-3.61464,-94271.20926,-111236.75391,0.00000,-0.13691,-3.13691,-5.76184,-75613.68563,-298063.45637,0.00000,1.46402,-0.53598,-0.61306,808578.94333,-50928.13603,0.00000,0.94489,-0.05511,-3.23930,521862.63972,-5236.70794,0.00000,2.67829,1.67829,-2.52195,1479223.52006,159468.24618,0.00000,1.86060,-0.13940,0.20533,1027612.97106,-13245.38731,0.00000,0.98352,-0.01648,-2.79222,543202.04961,-1565.46275,0.00000,-1.23056,-2.23056,-4.39285,-679638.25650,-211943.66041,0.00000,United States,20.32239,2.53932,77.13829,0.45331,-1.32569,-1.91307,0.68817,-0.12434,-1.34010,0.46224,-0.30847,-1.57888,0.29821,-0.22198,-1.95463,-0.01853,-0.95090,-1.51736,-0.06300,-0.76937,-0.45283,0.17766,-0.65147,-1.23176
125,Russia,RS,RUS,43466789.71429,536534.28571,2351045.71429,-3.18783,-5.18783,-6.18783,-1385648.12626,-27834.49606,-145478.75333,-4.56481,-5.56481,-11.56481,-1984175.87618,-29857.10757,-271893.94351,-5.07097,-6.07097,-15.07097,-2204186.26791,-32572.81579,-354325.30783,-3.16339,-5.16339,-6.16339,-1375024.16198,-27703.35868,-144904.12093,-3.37505,-5.37505,-10.37505,-1467024.47278,-28838.96868,-243922.09193,-0.41436,-1.41436,-11.41436,-180107.83884,-7588.51212,-268356.75934,-2.89399,-4.89399,-5.89399,-1257924.01502,-26257.92771,-138570.37049,-4.36903,-6.36903,-11.36903,-1899079.06694,-34172.05411,-267291.19990,-2.70103,-3.70103,-13.70103,-1174050.90077,-19857.29328,-322117.47163,-1.88649,-3.88649,-4.88649,-819996.79006,-20852.35320,-114883.62177,-3.91757,-5.91757,-10.91757,-1702840.32526,-31749.77232,-256676.97567,-1.03820,-2.03820,-12.03820,-451270.86540,-10935.62520,-283023.51241,-5.57009,-7.57009,-8.57009,-2421140.87521,-40616.14766,-201486.81847,-3.29055,-4.29055,-8.29055,-1430298.51631,-23020.29731,-194914.73229,-5.82315,-8.82315,-11.82315,-2531136.19392,-47339.22272,-277967.65210,-5.84674,-7.84674,-8.84674,-2541391.81595,-42100.47059,-207990.99006,-4.33354,-5.33354,-9.33354,-1883650.41864,-28616.26704,-219435.77592,-2.99244,-3.99244,-9.99244,-1300719.41944,-21420.83187,-234926.93067,-4.08895,-6.08895,-7.08895,-1777333.85088,-32669.28653,-166664.37689,-7.48009,-8.48009,-12.48009,-3251355.57512,-45498.59752,-293412.65269,-4.70593,-5.70593,-11.70593,-2045516.99149,-30614.27440,-275211.78150,Russia,95.94102,1.06903,2.98995,-1.09964,-1.59493,-1.79355,-1.09149,-1.20191,-0.25131,-1.00169,-1.53324,-1.01354,-0.66586,-1.38275,-0.45926,-1.89372,-1.15025,-2.01154,-1.98594,-1.49791,-1.07081,-1.40001,-2.54676,-1.64197
51,France,FR,FRA,35750412.71429,106130.85714,14831270.57143,4.19423,2.19423,-1.67741,1499454.45398,2328.75487,-248781.44312,9.28173,8.28173,-1.37371,3318256.07022,8789.46892,-203738.59163,7.48427,6.48427,1.19046,2675657.48258,6881.81154,176559.65248,5.66527,3.66527,-1.16040,2025357.48500,3889.98270,-172102.63626,9.20340,7.20340,-1.31706,3290252.38144,7645.02689,-195336.65045,13.13828,12.13828,0.44838,4696988.52251,12882.45823,66500.71519,3.48842,1.48842,-0.72437,1247123.80165,1579.67069,-107433.95461,8.91649,6.91649,-1.65543,3187682.61352,7340.53202,-245521.33782,13.15282,12.15282,0.76610,4702188.99391,12897.89667,113622.94812,3.34408,1.34408,-1.47746,1195523.11717,1426.48575,-219125.73325,9.07301,7.07301,-1.81019,3243638.03524,7506.64470,-268474.01390,13.51139,12.51139,0.44420,4830377.76891,13278.44569,65880.94913,1.60704,-0.39296,-1.71428,574524.65222,-417.04820,-254248.85804,5.28107,4.28107,-2.83102,1888005.47589,4543.53972,-419876.51554,6.86357,3.86357,-3.20944,2453753.37567,4100.43632,-476000.86686,3.65645,2.31290,-2.60245,1307195.09769,2454.69544,-385976.13344,5.12973,4.12973,-3.19070,1833897.86781,4382.91257,-473220.94648,7.24377,6.24377,-1.41633,2589677.69202,6626.56668,-210059.58776,3.15843,1.15843,-2.54510,1129150.41122,1229.44768,-377470.90683,5.49909,4.49909,-3.12879,1965948.73333,4774.92683,-464038.87384,8.85373,7.85373,-1.34636,3165244.75976,8335.23021,-199682.74920,France,71.0541,0.2275,28.7184,0.83448,2.07313,1.89150,1.23350,2.05918,3.16389,0.75801,1.95862,3.19776,0.65162,1.98099,3.25214,0.21622,0.98304,1.32131,0.61865,0.91265,1.58482,0.50530,1.00634,1.97405
26,Canada,CA,CAN,23140657.14286,0.0,8726828.57143,6.53290,4.53290,-0.03333,1511756.17055,0.00000,-2908.71612,3.18721,2.18721,2.69104,737541.51322,0.00000,234842.72338,1.44660,0.44660,4.16267,334752.04610,0.00000,363268.95753,2.51563,0.51563,0.10179,582133.16126,0.00000,8882.86122,8.45056,6.45056,2.17914,1955514.29221,0.00000,190169.92887,7.61952,6.61952,3.51258,1763207.91860,0.00000,306536.89502,5.81224,3.81224,-0.18789,1344990.46575,0.00000,-16396.60786,5.58328,3.58328,1.97244,1292006.99582,0.00000,172131.78000,-0.66562,-1.66562,4.67914,-154028.76539,0.00000,408340.55293,1.13384,-0.86616,-0.05500,262378.86030,0.00000,-4799.69701,7.15163,5.15163,-0.05718,1654934.09322,0.00000,-4989.94309,10.48610,9.48610,1.65331,2426553.60363,0.00000,144281.81181,2.80640,0.80640,-1.46340,649418.28178,0.00000,-127708.74963,4.44386,3.44386,-0.28767,1028338.41093,0.00000,-25104.26692,3.52754,0.52754,-0.77776,816296.02614,0.00000,-67874.21044,1.61661,-0.38339,-0.65303,374093.28541,0.00000,-56988.79691,4.50496,3.50496,-0.47752,1042476.82970,0.00000,-41671.96316,5.28148,4.28148,2.66011,1222169.54227,0.00000,232143.67057,2.98371,0.98371,-0.71311,690449.63892,0.00000,-62232.22606,1.56439,0.56439,-0.25662,362011.07329,0.00000,-22394.71405,2.39448,1.39448,1.92142,554098.97303,0.00000,167679.28976,Canada,79.80398,0.0,20.19602,1.73559,1.02900,0.66505,0.67604,2.39466,2.26336,1.53348,1.61801,0.13794,0.29791,1.89858,2.90074,0.64802,1.16276,0.88601,0.38608,1.16623,1.58402,0.74570,0.39887,0.76631
56,Germany,GM,DEU,22297820.71429,0.0,3643521.57143,4.19423,2.19423,-1.67741,935221.83510,0.00000,-61116.85106,9.28173,8.28173,-1.37371,2069623.07063,0.00000,-50051.40658,7.48427,6.48427,1.19046,1668829.14937,0.00000,43374.49710,5.66527,3.66527,-1.16040,1263231.79662,0.00000,-42279.56497,9.20340,7.20340,-1.31706,2052156.94410,0.00000,-47987.34513,13.13828,12.13828,0.44838,2929549.61972,0.00000,16336.88693,3.48842,1.48842,-0.72437,777841.17235,0.00000,-26392.74425,8.91649,6.91649,-1.65543,1988183.35269,0.00000,-60315.95785,13.15282,12.15282,0.76610,2932793.19567,0.00000,27913.16229,3.34408,1.34408,-1.47746,745657.40932,0.00000,-53831.48612,9.07301,7.07301,-1.81019,2023083.20046,0.00000,-65954.62313,13.51139,12.51139,0.44420,3012745.56840,0.00000,16184.63220,1.60704,-0.39296,-1.71428,358335.65877,0.00000,-62460.00262,5.28107,4.28107,-2.83102,1177564.24088,0.00000,-103148.89303,6.86357,3.86357,-3.20944,1530425.76837,0.00000,-116936.67229,3.65645,2.31290,-2.60245,815308.12413,0.00000,-94820.76141,5.12973,4.12973,-3.19070,1143816.88938,0.00000,-116253.74362,7.24377,6.24377,-1.41633,1615202.86062,0.00000,-51604.25303,3.15843,1.15843,-2.54510,704260.21736,0.00000,-92731.32635,5.49909,4.49909,-3.12879,1226178.07910,0.00000,-113998.03130,8.85373,7.85373,-1.34636,1974188.68235,0.00000,-49055.02874,Germany,86.62313,0.0,13.37687,1.13626,2.61879,2.21412,1.58407,2.59870,3.81359,0.97496,2.50077,3.83196,0.89970,2.53906,3.92114,0.38758,1.39864,1.83870,0.93973,1.33890,2.02844,0.79849,1.44832,2.49643
149,Turkey,TU,TUR,20148828.57143,461142.85714,2915857.14286,2.68547,0.68547,-3.06663,541091.36025,3161.00999,-89418.68004,7.36431,6.36431,-3.69640,1483821.63224,29348.54804,-107781.83914,5.78765,4.78765,-0.75209,1166142.85347,22077.88716,-21929.90983,3.64303,1.64303,-2.79635,734027.61530,7576.70967,-81537.51763,6.93650,4.93650,-3.46880,1397624.33955,22764.33650,-101145.11813,9.90300,8.90300,-1.62696,1995338.69387,41055.55316,-47439.92988,2.14346,0.14346,-2.02236,431882.34304,661.56154,-58969.15674,7.26765,5.26765,-3.83862,1464347.33710,24291.41454,-111928.60236,10.82693,9.82693,-1.35556,2181500.15065,45316.19917,-39526.22009,1.59713,-0.40287,-2.66549,321803.55004,-1857.79331,-77721.91169,6.85011,4.85011,-4.12428,1380216.81767,22365.93347,-120258.22454,12.26508,11.26508,-2.01232,2471270.47803,51948.12401,-58676.34922,-0.82128,-2.82128,-3.27271,-165478.56683,-13010.13732,-95427.54752,3.19211,2.19211,-4.77236,643171.84618,10108.73750,-139155.15828,4.84207,1.84207,-5.43193,975619.98907,8494.56520,-158387.45227,2.18438,0.18438,-4.42749,440126.81107,850.25130,-129099.25016,3.11050,2.11050,-5.17255,626729.16029,9732.41651,-150824.19883,3.68405,2.68405,-3.68320,742292.03144,12377.28454,-107396.96722,1.18329,-0.81671,-3.91532,238418.46899,-3766.21367,-114165.09324,3.27432,2.27432,-5.35455,659737.15254,10487.86489,-156130.99599,7.00693,6.00693,-3.64162,1411814.32241,27700.52883,-106184.33216,Turkey,89.03583,1.34648,9.6177,0.70177,2.09569,1.71507,0.99893,1.96961,2.92687,0.57196,2.05752,3.21393,0.38675,1.92257,3.62615,-0.36133,0.80421,1.27118,0.50718,0.76680,0.98734,0.22200,0.81032,1.98977
7,Australia,AS,AUS,20069730.42857,891258.57143,367102.14286,2.66825,0.54200,-0.33175,535510.99278,4830.62146,-1217.85385,6.28635,6.05400,-0.71365,1261654.02957,53956.79391,-2619.81473,-0.43607,8.95000,-10.43607,-87518.36881,79767.64214,-38311.04200,1.49072,0.60500,-1.50928,299182.86954,5392.11436,-5540.61049,10.21830,4.34200,3.21830,2050785.31692,38698.44717,11814.44922,8.51621,10.64500,-2.48379,1709179.85519,94874.47493,-9118.05609,3.09820,0.07300,0.09820,621799.70117,650.61876,360.48174,7.29439,4.41900,0.29439,1463963.74959,39384.71627,1080.69993,5.38709,11.44200,-5.61291,1081174.74596,101977.80574,-20605.10731,4.99019,0.43700,1.99019,1001517.45211,3894.79996,7306.02595,8.32910,4.98600,1.32910,1671628.84781,44438.15237,4879.17160,7.04790,10.73600,-3.95210,1414494.68798,95685.52023,-14508.24091,-0.24087,-0.17100,-3.24087,-48342.54992,-1524.05216,-11897.31401,3.46203,2.19700,-1.53797,694820.85141,19580.95081,-5645.90687,4.16332,1.16000,-1.83668,835567.46466,10338.59943,-6742.48498,5.60038,-0.22700,2.60038,1123981.05008,-2023.15696,9546.04853,3.30862,2.39900,-1.69138,664031.51907,21381.29313,-6209.08483,5.54121,5.73300,-1.45879,1112105.65340,51095.85390,-5355.25403,1.25735,-0.55600,-1.74265,252347.41024,-4955.39766,-6397.29352,0.43203,2.35700,-4.56797,86706.53353,21006.96453,-16769.12898,4.85577,5.69700,-2.14423,974539.01088,50775.00081,-7871.53144,Australia,94.88855,3.8658,1.24565,0.84956,2.06339,-0.06593,0.47304,3.30131,2.82049,0.98129,2.36534,1.82805,1.59227,2.70422,2.35115,-0.09185,1.11695,1.32416,1.77925,1.07039,1.82048,0.38329,0.14805,1.60036
114,Pakistan,PK,PAK,19985871.42857,7287321.42857,2259885.71429,-3.78091,-5.78091,-6.78091,-755648.12233,-421273.60656,-153240.85154,-7.92688,-8.92688,-14.92688,-1584256.67820,-650530.66999,-337330.50030,-7.05207,-8.05207,-17.05207,-1409417.51986,-586780.17756,-385357.27997,-2.39320,-4.39320,-5.39320,-478301.54622,-320146.48511,-121880.11916,-3.19562,-5.19562,-10.19562,-638672.38770,-378621.48700,-230409.34665,-2.27060,-3.27060,-13.27060,-453799.33094,-238339.18361,-299900.40878,-2.68363,-4.68363,-5.68363,-536346.95118,-341311.21264,-128443.55483,-3.39654,-5.39654,-10.39654,-678828.93967,-393263.51563,-234950.01522,-2.62671,-3.62671,-13.62671,-524970.83621,-264289.99778,-307948.06728,-3.84772,-5.84772,-6.84772,-769000.67204,-426142.26200,-154750.67995,-3.05475,-5.05475,-10.05475,-610517.51499,-368355.55449,-227225.75794,-2.92229,-3.92229,-13.92229,-584044.51405,-285829.65793,-314627.77405,-2.09351,-4.09351,-5.09351,-418407.01945,-298307.52402,-115107.59559,-4.06258,-5.06258,-9.06258,-811942.74496,-368926.74316,-204804.03325,-5.91739,-8.91739,-11.91739,-1182642.39445,-649839.03172,-269319.44355,-3.62046,-5.62046,-6.62046,-723581.00798,-409581.17821,-149614.88938,-5.90882,-6.90882,-10.90882,-1180929.99033,-503468.22011,-246526.95774,-4.68580,-5.68580,-11.68580,-936497.32516,-414342.28907,-264085.65263,-3.32608,-5.32608,-6.32608,-664746.59969,-388128.76140,-142962.23782,-4.19916,-5.19916,-9.19916,-839238.15848,-378879.29652,-207890.43933,-8.66353,-9.66353,-15.66353,-1731481.72404,-704212.40387,-353977.84935,Pakistan,68.66228,26.2232,5.11452,-1.48627,-2.84904,-2.60858,-1.02370,-1.35937,-1.03181,-1.12051,-1.42634,-1.15051,-1.50854,-1.31241,-1.24904,-0.92380,-1.52685,-2.33699,-1.43279,-2.14226,-1.76868,-1.33466,-1.57237,-3.09459
